Morrone del Sannio comune,Morrone del Sannio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Stefania Pedrazzi (lista civica Insieme a noi Morrone rinasce) dal 4-10-2021
Territorio,Territorio
Coordinate,41°42′41″N 14°46′46″E
Altitudine,839 m s.l.m.
Superficie,"45,84 km²"
Abitanti,506[1] (30-11-2025)
Densità,"11,04 ab./km²"
Comuni confinanti,"Campolieto, Casacalenda, Castelbottaccio, Castellino del Biferno, Lucito, Lupara, Provvidenti, Ripabottoni"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070048
Cod. catastale,F748
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 472 GG[3]"
Nome abitanti,morronesi
Patrono,san Modesto[non chiaro]
Giorno festivo,2 ottobre
Cartografia,Cartografia
Morrone del Sannio,Morrone del Sannio
Morrone del Sannio – MappaPosizione del comune di Morrone del Sannio nella provincia di Campobasso,Morrone del Sannio – MappaPosizione del comune di Morrone del Sannio nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
