Busso comune,Busso comune.1
,
Busso – Veduta,Busso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Michele Palmieri (Alternativa Popolare) dall'11-6-2017 (2º mandato dal 12-06-2022)
Territorio,Territorio
Coordinate,41°33′N 14°33′E
Altitudine,756 m s.l.m.
Superficie,"23,81 km²"
Abitanti,1 140[1] (30-11-2025)
Densità,"47,88 ab./km²"
Comuni confinanti,"Baranello, Campobasso, Casalciprano, Castropignano, Oratino, Spinete, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070005
Cod. catastale,B295
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 353 GG[3]"
Nome abitanti,bussesi
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Busso,Busso
Busso – MappaPosizione del comune di Busso nella provincia di Campobasso,Busso – MappaPosizione del comune di Busso nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
