Lucito comune,Lucito comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Tiziana Franceschini (lista civica Per Lucito) dal 10-6-2024
Territorio,Territorio
Coordinate,41°44′N 14°41′E
Altitudine,480 m s.l.m.
Superficie,"31,56 km²"
Abitanti,615[1] (30-11-2025)
Densità,"19,49 ab./km²"
Comuni confinanti,"Castelbottaccio, Castellino del Biferno, Civitacampomarano, Limosano, Morrone del Sannio, Petrella Tifernina, Sant'Angelo Limosano, Trivento"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070033
Cod. catastale,E722
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 959 GG[3]"
Nome abitanti,lucitesi
Patrono,san Nicola di Bari
Cartografia,Cartografia
Lucito,Lucito
Lucito – MappaPosizione del comune di Lucito nella provincia di Campobasso,Lucito – MappaPosizione del comune di Lucito nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
