Toro comune,Toro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Roberto Quercio (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,41°34′N 14°46′E
Altitudine,588 m s.l.m.
Superficie,"24,06 km²"
Abitanti,1 216[1] (30-11-2025)
Densità,"50,54 ab./km²"
Comuni confinanti,"Campodipietra, Jelsi, Monacilioni, Pietracatella, San Giovanni in Galdo"
Altre informazioni,Altre informazioni
Cod. postale,86018
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070080
Cod. catastale,L230
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,toresi
Patrono,san Mercurio
Giorno festivo,26 agosto
Cartografia,Cartografia
Toro,Toro
Toro – MappaPosizione del comune di Toro nella provincia di Campobasso,Toro – MappaPosizione del comune di Toro nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
