Sant'Angelo Limosano comune,Sant'Angelo Limosano comune.1
,
Sant'Angelo Limosano – VedutaLa Rampa dedicata a Vittorio Emanuele III,Sant'Angelo Limosano – VedutaLa Rampa dedicata a Vittorio Emanuele III
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,William Ciarallo (lista civica Vivere) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°42′N 14°36′E
Altitudine,894 m s.l.m.
Superficie,"16,87 km²"
Abitanti,300[1] (30-11-2025)
Densità,"17,78 ab./km²"
Comuni confinanti,"Fossalto, Limosano, Lucito, Salcito, San Biase, Trivento"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070073
Cod. catastale,I289
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 551 GG[3]"
Nome abitanti,santangiolesi
Patrono,san Pietro Celestino
Giorno festivo,19 maggio
Cartografia,Cartografia
Sant'Angelo Limosano,Sant'Angelo Limosano
Sant'Angelo Limosano – MappaPosizione del comune di Sant'Angelo Limosano nella provincia di Campobasso,Sant'Angelo Limosano – MappaPosizione del comune di Sant'Angelo Limosano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
