Torella del Sannio comune,Torella del Sannio comune.1
,
Torella del Sannio – VedutaVista su centro e borgo antico,Torella del Sannio – VedutaVista su centro e borgo antico
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Gianni Meffe (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°38′N 14°31′E
Altitudine,837 m s.l.m.
Superficie,"16,73[1] km²"
Abitanti,677[2] (30-11-2025)
Densità,"40,47 ab./km²"
Frazioni,"Colle Bove, Macchione, Colle Scesce, Santo Ianni, Civita, Pozzo Sauci, Colle Alto, Macchiefredde[1]"
Comuni confinanti,"Casalciprano, Castropignano, Duronia, Fossalto, Frosolone (IS), Molise, Pietracupa"
Altre informazioni,Altre informazioni
Cod. postale,86028
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070079
Cod. catastale,L215
Targa,CB
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 469 GG[4]"
Nome abitanti,torellesi
Patrono,san Clemente martire
Giorno festivo,15 ottobre
Cartografia,Cartografia
Torella del Sannio,Torella del Sannio
Torella del Sannio – MappaPosizione del comune di Torella del Sannio nella provincia di Campobasso,Torella del Sannio – MappaPosizione del comune di Torella del Sannio nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
