Montorio nei Frentani comune,Montorio nei Frentani comune.1
,
Montorio nei Frentani – Veduta,Montorio nei Frentani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Pellegrino Nino Ponte (Paese nuovo) dal 27-5-2013 (3º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,41°45′34″N 14°55′58″E
Altitudine,654 m s.l.m.
Superficie,"31,66 km²"
Abitanti,343[1] (30-11-2025)
Densità,"10,83 ab./km²"
Comuni confinanti,"Bonefro, Casacalenda, Larino, Montelongo, Rotello, Ururi"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070047
Cod. catastale,F689
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 207 GG[3]"
Nome abitanti,montoriesi
Patrono,san Costanzo
Cartografia,Cartografia
Montorio nei Frentani,Montorio nei Frentani
Montorio nei Frentani – MappaPosizione del comune di Montorio nei Frentani nella provincia di Campobasso,Montorio nei Frentani – MappaPosizione del comune di Montorio nei Frentani nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
