Salcito comune,Salcito comune.1
,
Salcito – Veduta,Salcito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Giovanni Galli (lista civica Cambiare Salcito) dall'11-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,41°45′N 14°31′E
Altitudine,678 m s.l.m.
Superficie,"28,26 km²"
Abitanti,644[1] (30-11-2025)
Densità,"22,79 ab./km²"
Comuni confinanti,"Bagnoli del Trigno (IS), Civitanova del Sannio (IS), Fossalto, Pietracupa, Poggio Sannita (IS), San Biase, Sant'Angelo Limosano, Schiavi di Abruzzo (CH), Trivento"
Altre informazioni,Altre informazioni
Cod. postale,86026
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070062
Cod. catastale,H693
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 242 GG[3]"
Nome abitanti,salcitani
Patrono,S. Basilio Magno
Giorno festivo,14 giugno
Cartografia,Cartografia
Salcito,Salcito
Salcito – MappaPosizione del comune di Salcito nella provincia di Campobasso,Salcito – MappaPosizione del comune di Salcito nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
