Rotello comune,Rotello comune.1
,
Rotello – VedutaCastello ducale,Rotello – VedutaCastello ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Massimo Marmorini (lista civica Progetto comune) dal 4-10-2021
Territorio,Territorio
Coordinate,41°44′51″N 15°00′15″E
Altitudine,360 m s.l.m.
Superficie,"70,75 km²"
Abitanti,1 126[1] (30-11-2025)
Densità,"15,92 ab./km²"
Comuni confinanti,"Montelongo, Montorio nei Frentani, San Martino in Pensilis, Santa Croce di Magliano, Serracapriola (FG), Torremaggiore (FG), Ururi"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070061
Cod. catastale,H589
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 766 GG[3]"
Nome abitanti,rotellesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Rotello,Rotello
Rotello – MappaPosizione del comune di Rotello nella provincia di Campobasso,Rotello – MappaPosizione del comune di Rotello nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
