Oratino comune,Oratino comune.1
,
Oratino – VedutaLa rocca di Oratino,Oratino – VedutaLa rocca di Oratino
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Loredana Latessa (lista civica Oratino nel cuore) dal 14-5-2023
Territorio,Territorio
Coordinate,41°35′N 14°35′E
Altitudine,795 m s.l.m.
Superficie,"17,89 km²"
Abitanti,1 679[1] (30-11-2025)
Densità,"93,85 ab./km²"
Comuni confinanti,"Busso, Campobasso, Castropignano, Ripalimosani"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070049
Cod. catastale,G086
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 409 GG[3]"
Nome abitanti,oratinesi
Patrono,San Bonifacio
Giorno festivo,14 maggio
Cartografia,Cartografia
Oratino,Oratino
Oratino – MappaPosizione del comune di Oratino nella provincia di Campobasso,Oratino – MappaPosizione del comune di Oratino nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
