Sant'Elia a Pianisi comune,Sant'Elia a Pianisi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Biagio Faiella (lista civica Corriamo insieme verso il futuro) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°37′17″N 14°52′34″E
Altitudine,670 m s.l.m.
Superficie,"68,25 km²"
Abitanti,1 483[1] (30-11-2025)
Densità,"21,73 ab./km²"
Frazioni,Occhito
Comuni confinanti,"Bonefro, Carlantino (FG), Colletorto, Macchia Valfortore, Monacilioni, Ripabottoni, San Giuliano di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,86048
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070074
Cod. catastale,I320
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 266 GG[3]"
Nome abitanti,santeliani
Patrono,sant'Elia Profeta
Giorno festivo,20 luglio
Cartografia,Cartografia
Sant'Elia a Pianisi,Sant'Elia a Pianisi
Sant'Elia a Pianisi – MappaPosizione del comune di Sant'Elia a Pianisi nella provincia di Campobasso,Sant'Elia a Pianisi – MappaPosizione del comune di Sant'Elia a Pianisi nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
