Civitacampomarano comune,Civitacampomarano comune.1
,
Civitacampomarano – VedutaCastello Angioino,Civitacampomarano – VedutaCastello Angioino
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Paolo Manuele (lista civica) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°47′N 14°41′E
Altitudine,520 m s.l.m.
Superficie,"38,89 km²"
Abitanti,280[1] (30-11-2025)
Densità,"7,2 ab./km²"
Comuni confinanti,"Castelbottaccio, Castelmauro, Guardialfiera, Lucito, Lupara, Trivento"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070019
Cod. catastale,C764
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 027 GG[3]"
Nome abitanti,civitesi
Patrono,san Liberatore
Cartografia,Cartografia
Civitacampomarano,Civitacampomarano
Civitacampomarano – MappaPosizione del comune di Civitacampomarano nella provincia di Campobasso,Civitacampomarano – MappaPosizione del comune di Civitacampomarano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
