Duronia comune,Duronia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Paolo Mario Berardo (lista civica Paese mio) dal 13-6-2022
Territorio,Territorio
Coordinate,41°40′N 14°28′E
Altitudine,918 m s.l.m.
Superficie,"22,47 km²"
Abitanti,381[1] (30-11-2025)
Densità,"16,96 ab./km²"
Frazioni,"Casalotto, Casale, Madonnella, San Ianni, Cappiello, Gigliotti, Valle del Colle, Morgia, Casalotti, Potestà, Valloni, Faito, Santa Maria."
Comuni confinanti,"Bagnoli del Trigno (IS), Civitanova del Sannio (IS), Frosolone (IS), Molise, Pietracupa, Torella del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070022
Cod. catastale,C772
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 571 GG[3]"
Nome abitanti,duroniesi
Patrono,san Rocco
Cartografia,Cartografia
Duronia,Duronia
Duronia – MappaPosizione del comune di Duronia nella provincia di Campobasso,Duronia – MappaPosizione del comune di Duronia nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
