Ururi comune,Ururi comune.1
,
Ururi – VedutaScorcio di via Santa Maria,Ururi – VedutaScorcio di via Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Laura Greco (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,41°49′N 15°01′E
Altitudine,262 m s.l.m.
Superficie,"31,65 km²"
Abitanti,2 334[1] (30-11-2025)
Densità,"73,74 ab./km²"
Comuni confinanti,"Larino, Montorio nei Frentani, Rotello, San Martino in Pensilis"
Altre informazioni,Altre informazioni
Lingue,"italiano, arbëreshë"
Cod. postale,86049
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070083
Cod. catastale,L505
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 647 GG[3]"
Nome abitanti,ururesi
Patrono,Sacro Legno della Croce
Giorno festivo,3-4 maggio
Cartografia,Cartografia
Ururi,Ururi
Ururi – MappaPosizione del comune di Ururi nella provincia di Campobasso,Ururi – MappaPosizione del comune di Ururi nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
