Baranello comune,Baranello comune.1
,
Baranello – Veduta,Baranello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Riccardo Di Chiro (lista civica Insieme per Baranello) dal 4-10-2021
Territorio,Territorio
Coordinate,41°32′N 14°33′E
Altitudine,610 m s.l.m.
Superficie,25 km²
Abitanti,2 424[1] (30-11-2025)
Densità,"96,96 ab./km²"
Comuni confinanti,"Busso, Colle d'Anchise, Spinete, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86011
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070002
Cod. catastale,A616
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 118 GG[3]"
Nome abitanti,baranellesi
Patrono,san Michele
Giorno festivo,8 maggio
Cartografia,Cartografia
Baranello,Baranello
Baranello – MappaPosizione del comune di Baranello nella provincia di Campobasso,Baranello – MappaPosizione del comune di Baranello nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
