Matrice comune,Matrice comune.1
,
Matrice – Veduta,Matrice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Arcangelo Lariccia (lista civica) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,41°37′N 14°43′E
Altitudine,690 m s.l.m.
Superficie,"20,42 km²"
Abitanti,1 020[1] (30-11-2025)
Densità,"49,95 ab./km²"
Comuni confinanti,"Campobasso, Campolieto, Castellino del Biferno, Montagano, Petrella Tifernina, Ripalimosani, San Giovanni in Galdo"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070037
Cod. catastale,F055
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 237 GG[3]"
Nome abitanti,matriciani
Patrono,sant'Urbano
Giorno festivo,terzo sabato di maggio
Cartografia,Cartografia
Matrice,Matrice
Matrice – MappaPosizione del comune di Matrice nella provincia di Campobasso,Matrice – MappaPosizione del comune di Matrice nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
