Mafalda comune,Mafalda comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Egidio Riccioni (lista civica: Inseieme per Mafalda) dal 9-6-2024
Territorio,Territorio
Coordinate,41°57′N 14°43′E
Altitudine,460 m s.l.m.
Superficie,"32,51 km²"
Abitanti,1 078[1] (30-11-2025)
Densità,"33,16 ab./km²"
Comuni confinanti,"Dogliola (CH), Fresagrandinaria (CH), Lentella (CH), Montenero di Bisaccia, San Felice del Molise, Tavenna, Tufillo (CH)"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070036
Cod. catastale,E799
Targa,CB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 929 GG[3]"
Nome abitanti,Mafaldesi
Patrono,San Valentino
Giorno festivo,17 settembre
Cartografia,Cartografia
Mafalda,Mafalda
Mafalda – MappaPosizione del comune di Mafalda nella provincia di Campobasso,Mafalda – MappaPosizione del comune di Mafalda nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
