Ripabottoni comune,Ripabottoni comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Orazio Civetta (lista civica Uniti per Ripabottoni) dal 27-5-2013 (3º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,41°41′N 14°49′E
Altitudine,695 m s.l.m.
Superficie,"31,96 km²"
Abitanti,413[1] (30-11-2025)
Densità,"12,92 ab./km²"
Comuni confinanti,"Bonefro, Campolieto, Casacalenda, Monacilioni, Morrone del Sannio, Provvidenti, Sant'Elia a Pianisi"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070058
Cod. catastale,H311
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 219 GG[3]"
Nome abitanti,ripesi
Cartografia,Cartografia
Ripabottoni,Ripabottoni
Ripabottoni – MappaPosizione del comune di Ripabottoni nella provincia di Campobasso,Ripabottoni – MappaPosizione del comune di Ripabottoni nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
