Montefalcone nel Sannio comune,Montefalcone nel Sannio comune.1
,
Montefalcone nel Sannio – Veduta,Montefalcone nel Sannio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Fabio Pasciullo (lista civica Futuro Montefalcone) dal 24-04-2023
Territorio,Territorio
Coordinate,41°52′N 14°38′E
Altitudine,659 m s.l.m.
Superficie,"32,57 km²"
Abitanti,1 319[1] (30-11-2025)
Densità,"40,5 ab./km²"
Comuni confinanti,"Castelmauro, Celenza sul Trigno (CH), Montemitro, Roccavivara, San Felice del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86033
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070043
Cod. catastale,F495
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 215 GG[3]"
Nome abitanti,montefalconesi o falconesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Montefalcone nel Sannio,Montefalcone nel Sannio
Montefalcone nel Sannio – MappaPosizione del comune di Montefalcone nel Sannio nella provincia di Campobasso,Montefalcone nel Sannio – MappaPosizione del comune di Montefalcone nel Sannio nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
