Roccavivara comune,Roccavivara comune.1
,
Roccavivara – VedutaSanta Maria di Canneto,Roccavivara – VedutaSanta Maria di Canneto
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Angelo Minni (lista civica Roccavivara oltre) dal 21-9-2020
Territorio,Territorio
Coordinate,41°50′N 14°36′E
Altitudine,652 m s.l.m.
Superficie,"21,05 km²"
Abitanti,568[1] (30-11-2025)
Densità,"26,98 ab./km²"
Frazioni,Canneto
Comuni confinanti,"Castelguidone (CH), Castelmauro, Celenza sul Trigno (CH), Montefalcone nel Sannio, San Giovanni Lipioni (CH), Trivento"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070060
Cod. catastale,H454
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 202 GG[3]"
Nome abitanti,rocchesi
Patrono,sant'Emidio
Giorno festivo,5 agosto
Cartografia,Cartografia
Roccavivara,Roccavivara
Roccavivara – MappaPosizione del comune di Roccavivara nella provincia di Campobasso,Roccavivara – MappaPosizione del comune di Roccavivara nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
