Colle d'Anchise comune,Colle d'Anchise comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Carletto Di Paola (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°31′N 14°31′E
Altitudine,649 m s.l.m.
Superficie,"15,69 km²"
Abitanti,715[1] (30-11-2025)
Densità,"45,57 ab./km²"
Comuni confinanti,"Baranello, Bojano, Campochiaro, San Polo Matese, Spinete, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070020
Cod. catastale,C854
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 200 GG[3]"
Nome abitanti,colledanchisani
Patrono,san Sisto
Giorno festivo,6 agosto
Cartografia,Cartografia
Colle d'Anchise,Colle d'Anchise
Colle d'Anchise – MappaPosizione del comune di Colle d'Anchise nella provincia di Campobasso,Colle d'Anchise – MappaPosizione del comune di Colle d'Anchise nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
