Riccia comune,Riccia comune.1
,
Riccia – VedutaVeduta aerea,Riccia – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Pietro Testa (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°29′N 14°50′E
Altitudine,665 m s.l.m.
Superficie,"70,04 km²"
Abitanti,4 647[1] (30-11-2025)
Densità,"66,35 ab./km²"
Comuni confinanti,"Castelpagano (BN), Castelvetere in Val Fortore (BN), Cercemaggiore, Colle Sannita (BN), Gambatesa, Jelsi, Pietracatella, Tufara"
Altre informazioni,Altre informazioni
Cod. postale,86016
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070057
Cod. catastale,H273
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 288 GG[3]"
Nome abitanti,riccesi
Patrono,sant'Agostino
Giorno festivo,28 agosto
Cartografia,Cartografia
Riccia,Riccia
Riccia – MappaPosizione del comune di Riccia nella provincia di Campobasso,Riccia – MappaPosizione del comune di Riccia nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
