Portocannone comune,Portocannone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Francesco Gallo (lista civica Con il cuore per Portocannone) dal 4-10-2021
Territorio,Territorio
Coordinate,41°55′N 15°01′E
Altitudine,148 m s.l.m.
Superficie,"13,11 km²"
Abitanti,2 311[1] (30-11-2025)
Densità,"176,28 ab./km²"
Comuni confinanti,"Campomarino, Guglionesi, San Martino in Pensilis, Termoli"
Altre informazioni,Altre informazioni
Lingue,"italiano, arbëreshë"
Cod. postale,86045
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070055
Cod. catastale,G910
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 484 GG[3]"
Nome abitanti,portocannonesi; (porkangiar)
Patrono,Beata Vergine santissima di Costantinopoli
Giorno festivo,martedì di Pentecoste
PIL,"(nominale) 31,2 mln € [4]"
PIL procapite,(nominale) 12 991 € [4]
Cartografia,Cartografia
Portocannone,Portocannone
Portocannone – MappaPosizione del comune di Portocannone nella provincia di Campobasso,Portocannone – MappaPosizione del comune di Portocannone nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
