Gambatesa comune,Gambatesa comune.1
,
Gambatesa – VedutaCastello Di Capua di Gambatesa,Gambatesa – VedutaCastello Di Capua di Gambatesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Carmelina Genovese (lista civica Gambatesa partecipa) dal 9-6-2024
Territorio,Territorio
Coordinate,41°30′N 14°55′E
Altitudine,468 m s.l.m.
Superficie,"43,69 km²"
Abitanti,1 231[1] (30-11-2025)
Densità,"28,18 ab./km²"
Comuni confinanti,"Celenza Valfortore (FG), Macchia Valfortore, Pietracatella, Riccia, Tufara"
Altre informazioni,Altre informazioni
Cod. postale,86013
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070025
Cod. catastale,D896
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 979 GG[3]"
Nome abitanti,gambatesani
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Gambatesa,Gambatesa
Gambatesa – MappaPosizione del comune di Gambatesa nella provincia di Campobasso,Gambatesa – MappaPosizione del comune di Gambatesa nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
