Mirabello Sannitico comune,Mirabello Sannitico comune.1
,
Mirabello Sannitico – Veduta,Mirabello Sannitico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Angelo Miniello (Insieme per Mirabello) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°31′N 14°40′E
Altitudine,593 m s.l.m.
Superficie,"21,43 km²"
Abitanti,2 036[1] (30-11-2025)
Densità,"95,01 ab./km²"
Comuni confinanti,"Campobasso, Cercemaggiore, Cercepiccola, Ferrazzano, Gildone, San Giuliano del Sannio, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070038
Cod. catastale,F233
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 130 GG[3]"
Nome abitanti,mirabellesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Mirabello Sannitico,Mirabello Sannitico
Mirabello Sannitico – MappaPosizione del comune di Mirabello Sannitico nella provincia di Campobasso,Mirabello Sannitico – MappaPosizione del comune di Mirabello Sannitico nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
