Ferrazzano comune,Ferrazzano comune.1
,
Ferrazzano – Veduta,Ferrazzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Vincenzo Sforza (lista civica Ferrazzano che vogliamo) dal 9-6-2024
Territorio,Territorio
Coordinate,41°32′N 14°40′E
Altitudine,872 m s.l.m.
Superficie,"16,77 km²"
Abitanti,3 405[1] (30-11-2025)
Densità,"203,04 ab./km²"
Frazioni,"Contrada Piane, Mimosa, Nuova Comunità, Poggio Verde"
Comuni confinanti,"Campobasso, Campodipietra, Gildone, Mirabello Sannitico"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070023
Cod. catastale,D550
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 519 GG[3]"
Nome abitanti,ferrazzanesi
Patrono,Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Ferrazzano,Ferrazzano
Ferrazzano – MappaPosizione del comune di Ferrazzano nella provincia di Campobasso,Ferrazzano – MappaPosizione del comune di Ferrazzano nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
