San Polo Matese comune,San Polo Matese comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Tonino Spina (lista civica San Polo Matese nel cuore) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°28′N 14°30′E
Altitudine,751 m s.l.m.
Superficie,"15,28 km²"
Abitanti,485[1] (30-11-2025)
Densità,"31,74 ab./km²"
Comuni confinanti,"Bojano, Campochiaro, Colle d'Anchise, San Gregorio Matese (CE)"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070071
Cod. catastale,I122
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 316 GG[3]"
Nome abitanti,sanpolesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
San Polo Matese,San Polo Matese
San Polo Matese – MappaPosizione del comune di San Polo Matese nella provincia di Campobasso,San Polo Matese – MappaPosizione del comune di San Polo Matese nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
