Macchia Valfortore comune,Macchia Valfortore comune.1
,
Macchia Valfortore – Veduta,Macchia Valfortore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Gianfranco Paolucci (lista civica Interesse comune) dal 10-6-2018 (2º mandato dal 14-05-2023)
Territorio,Territorio
Coordinate,41°36′N 14°55′E
Altitudine,477 m s.l.m.
Superficie,"26,77 km²"
Abitanti,438[1] (30-11-2025)
Densità,"16,36 ab./km²"
Comuni confinanti,"Carlantino (FG), Celenza Valfortore (FG), Gambatesa, Monacilioni, Pietracatella, Sant'Elia a Pianisi"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070035
Cod. catastale,E780
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 992 GG[3]"
Nome abitanti,macchiaroli
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Macchia Valfortore,Macchia Valfortore
Macchia Valfortore – MappaPosizione del comune di Macchia Valfortore nella provincia di Campobasso,Macchia Valfortore – MappaPosizione del comune di Macchia Valfortore nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
