Sepino comune,Sepino comune.1
,
Sepino – VedutaPanorama del centro storico,Sepino – VedutaPanorama del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Paolo Pasquale D'Anello (lista civica Saepinum) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°24′N 14°37′E
Altitudine,698 m s.l.m.
Superficie,"61,37 km²"
Abitanti,1 818[1] (30-11-2025)
Densità,"29,62 ab./km²"
Comuni confinanti,"Cercemaggiore, Cercepiccola, Guardiaregia, Morcone (BN), Pietraroja (BN), San Giuliano del Sannio, Sassinoro (BN)"
Altre informazioni,Altre informazioni
Cod. postale,86017
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070075
Cod. catastale,I618
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 270 GG[3]"
Nome abitanti,sepinesi
Patrono,santa Cristina
Giorno festivo,24 luglio
Cartografia,Cartografia
Sepino,Sepino
Sepino – MappaPosizione del comune di Sepino nella provincia di Campobasso,Sepino – MappaPosizione del comune di Sepino nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
