Petacciato comune,Petacciato comune.1
,
Petacciato – VedutaChiesa S.Maria a Petacciato,Petacciato – VedutaChiesa S.Maria a Petacciato
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Antonio Di Pardo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°01′N 14°52′E
Altitudine,225 m s.l.m.
Superficie,"35,4 km²"
Abitanti,3 557[1] (30-11-2025)
Densità,"100,48 ab./km²"
Frazioni,"Collecalcioni, Marina di Petacciato"
Comuni confinanti,"Guglionesi, Montenero di Bisaccia, Termoli"
Altre informazioni,Altre informazioni
Cod. postale,86038
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070051
Cod. catastale,G506
Targa,CB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 594 GG[3]"
Nome abitanti,petacciatesi
Patrono,San Rocco
Giorno festivo,16 agosto
PIL,"(nominale) 53,9 mln di €[4]"
PIL procapite,(nominale) 14642 €[4]
Cartografia,Cartografia
Petacciato,Petacciato
Petacciato – MappaPosizione del comune di Petacciato nella provincia di Campobasso,Petacciato – MappaPosizione del comune di Petacciato nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
