Larino comune,Larino comune.1
,
Larino – Veduta,Larino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,"Giuseppe Puchetti (lista civica ""Si@mo Larino"") dall'11-6-2018 (2º mandato dal 15-5-2023)"
Territorio,Territorio
Coordinate,41°48′N 14°55′E
Altitudine,341[1] m s.l.m.
Superficie,"88,77[2] km²"
Abitanti,6 258[3] (30-11-2025)
Densità,"70,5 ab./km²"
Comuni confinanti,"Casacalenda, Guardialfiera, Guglionesi, Montorio nei Frentani, Palata, San Martino in Pensilis, Ururi"
Altre informazioni,Altre informazioni
Cod. postale,86035
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070031
Cod. catastale,E456
Targa,CB
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 605 GG[5]"
Nome abitanti,larinesi
Patrono,san Pardo
Giorno festivo,26 maggio
PIL,"(nominale) 102,7 mln €[6]"
PIL procapite,(nominale) 15 473 €[6]
Cartografia,Cartografia
Larino,Larino
Larino – MappaPosizione del comune di Larino nella provincia di Campobasso,Larino – MappaPosizione del comune di Larino nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
