Termoli comune,Termoli comune.1
,
Termoli – VedutaIl centro storico e la spiaggia di Lungomare Cristoforo Colombo (Sant'Antonio),Termoli – VedutaIl centro storico e la spiaggia di Lungomare Cristoforo Colombo (Sant'Antonio)
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Nicola Antonio Balice (FI) dal 10-6-2024
Territorio,Territorio
Coordinate,42°00′10″N 14°59′41″E
Altitudine,15 m s.l.m.
Superficie,"55,64 km²"
Abitanti,31 768[1] (30-11-2025)
Densità,"570,96 ab./km²"
Frazioni,"Contrade e località: Airino, Casa La Croce, Colle della Torre, Colle Granata, Colle Macchiuzzo, Litorale Nord, Mucchietti, Passo San Rocco, Porticone, Rio Vivo, Santa Maria degli Angeli (Difesa Grande), Santa Maria Valentino"
Comuni confinanti,"Campomarino, Guglionesi, Petacciato, Portocannone, San Giacomo degli Schiavoni"
Altre informazioni,Altre informazioni
Cod. postale,86039
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070078
Cod. catastale,L113
Targa,CB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 350 GG[3]"
Nome abitanti,termolesi
Patrono,san Basso
Giorno festivo,4 agosto
PIL,"(nominale) 606,5 mln €[4]"
PIL procapite,(nominale) 18 276 €[4]
Cartografia,Cartografia
Termoli,Termoli
Termoli – MappaPosizione del comune di Termoli nella provincia di Campobasso,Termoli – MappaPosizione del comune di Termoli nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
