Fossalto comune,Fossalto comune.1
,
Fossalto – VedutaPanorama di Fossalto,Fossalto – VedutaPanorama di Fossalto
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Saverio Nonno (lista civica Per il futuro di Fossalto) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°40′N 14°33′E
Altitudine,511 m s.l.m.
Superficie,"28,33 km²"
Abitanti,1 102[1] (30-11-2025)
Densità,"38,9 ab./km²"
Comuni confinanti,"Castropignano, Limosano, Pietracupa, Salcito, Sant'Angelo Limosano, Torella del Sannio"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070024
Cod. catastale,D737
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 003 GG[3]"
Nome abitanti,fossaltesi
Patrono,san Nicola
Giorno festivo,9 maggio
Cartografia,Cartografia
Fossalto,Fossalto
Fossalto – MappaPosizione del comune di Fossalto nella provincia di Campobasso,Fossalto – MappaPosizione del comune di Fossalto nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
