Guardiaregia comune,Guardiaregia comune.1
,
Guardiaregia – VedutaIl paese ai piedi del monte Mutria,Guardiaregia – VedutaIl paese ai piedi del monte Mutria
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Fabio Iuliano (lista civica) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,41°26′N 14°33′E
Altitudine,730 m s.l.m.
Superficie,"43,71 km²"
Abitanti,661[1] (30-11-2025)
Densità,"15,12 ab./km²"
Comuni confinanti,"Campochiaro, Cusano Mutri (BN), Piedimonte Matese (CE), Pietraroja (BN), San Giuliano del Sannio, Sepino, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86014
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070028
Cod. catastale,E248
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 316 GG[3]"
Nome abitanti,Guardioli
Patrono,San Nicola di Bari
Giorno festivo,9 maggio
Cartografia,Cartografia
Guardiaregia,Guardiaregia
Guardiaregia – MappaPosizione del comune di Guardiaregia nella provincia di Campobasso,Guardiaregia – MappaPosizione del comune di Guardiaregia nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
