Gildone comune,Gildone comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Nicola Vecchiullo (lista civica Comunità e futuro per Gildone) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°31′N 14°44′E
Altitudine,608 m s.l.m.
Superficie,"29,76 km²"
Abitanti,710[1] (30-11-2025)
Densità,"23,86 ab./km²"
Comuni confinanti,"Campodipietra, Cercemaggiore, Ferrazzano, Jelsi, Mirabello Sannitico"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070026
Cod. catastale,E030
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 142 GG[3]"
Nome abitanti,gildonesi
Patrono,Maria Santissima delle grazie e san Sabino
Cartografia,Cartografia
Gildone,Gildone
Gildone – MappaPosizione del comune di Gildone nella provincia di Campobasso,Gildone – MappaPosizione del comune di Gildone nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
