San Massimo comune,San Massimo comune.1
,
San Massimo – VedutaCampitello Matese,San Massimo – VedutaCampitello Matese
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Alfonso Leggieri (lista civica San Massimo unita) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°29′N 14°25′E
Altitudine,630 m s.l.m.
Superficie,"27,33 km²"
Abitanti,826[1] (30-11-2025)
Densità,"30,22 ab./km²"
Frazioni,Campitello Matese
Comuni confinanti,"Bojano, Cantalupo nel Sannio (IS), Macchiagodena (IS), Roccamandolfi (IS), San Gregorio Matese (CE)"
Altre informazioni,Altre informazioni
Cod. postale,86027
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070070
Cod. catastale,I023
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 173 GG[3]"
Nome abitanti,sammassimesi
Patrono,san Massimo di Nola
Giorno festivo,15 febbraio
Cartografia,Cartografia
San Massimo,San Massimo
San Massimo – MappaPosizione del comune di San Massimo nella provincia di Campobasso,San Massimo – MappaPosizione del comune di San Massimo nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
