Tufara comune,Tufara comune.1
,
Tufara – Veduta,Tufara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Gianni Di Iorio (lista civica La via giusta) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°29′N 14°57′E
Altitudine,420 m s.l.m.
Superficie,"35,52 km²"
Abitanti,746[1] (30-11-2025)
Densità,21 ab./km²
Comuni confinanti,"Castelvetere in Val Fortore (BN), Celenza Valfortore (FG), Gambatesa, Riccia, San Bartolomeo in Galdo (BN), San Marco la Catola (FG)"
Altre informazioni,Altre informazioni
Cod. postale,86010
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070082
Cod. catastale,L458
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 910 GG[3]"
Nome abitanti,tufaroli
Patrono,san Giovanni Eremita
Giorno festivo,28 agosto
Cartografia,Cartografia
Tufara,Tufara
Tufara – MappaPosizione del comune di Tufara nella provincia di Campobasso,Tufara – MappaPosizione del comune di Tufara nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
