Pietracatella comune,Pietracatella comune.1
,
Pietracatella – VedutaChiesa di Santa Maria di Costantinopoli,Pietracatella – VedutaChiesa di Santa Maria di Costantinopoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Antonio Tomassone (lista civica Insieme per Pietracatella[1]) dal 22-9-2020
Territorio,Territorio
Coordinate,41°35′N 14°52′E
Altitudine,666 m s.l.m.
Superficie,"50,28 km²"
Abitanti,1 198[2] (30-11-2025)
Densità,"23,83 ab./km²"
Comuni confinanti,"Gambatesa, Jelsi, Macchia Valfortore, Monacilioni, Riccia, Toro"
Altre informazioni,Altre informazioni
Cod. postale,86040
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070053
Cod. catastale,G609
Targa,CB
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 303 GG[4]"
Nome abitanti,pietracatellesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Pietracatella,Pietracatella
Pietracatella – MappaPosizione del comune di Pietracatella nella provincia di Campobasso,Pietracatella – MappaPosizione del comune di Pietracatella nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
