Campobasso comune,Campobasso comune.1
,
Campobasso – VedutaPanorama della città dal Castello Monforte,Campobasso – VedutaPanorama della città dal Castello Monforte
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Marialuisa Forte (indipendente di centro-sinistra) dal 25-6-2024
Territorio,Territorio
Coordinate,41°33′39.6″N 14°40′06.24″E
Altitudine,701 m s.l.m.
Superficie,"56,11 km²"
Abitanti,47 451[1] (30-11-2025)
Densità,"845,68 ab./km²"
Frazioni,Santo Stefano
Comuni confinanti,"Busso, Campodipietra, Castropignano, Ferrazzano, Matrice, Mirabello Sannitico, Oratino, Ripalimosani, San Giovanni in Galdo, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86100
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070006
Cod. catastale,B519
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 346 GG[3]"
Nome abitanti,campobassani
Patrono,san Giorgio
Giorno festivo,23 aprile
PIL,"(nominale) 944,9 mln €[4]"
PIL procapite,(nominale) 19 550 €[4]
Cartografia,Cartografia
Campobasso,Campobasso
Campobasso – MappaPosizione del comune di Campobasso nell'omonima provincia,Campobasso – MappaPosizione del comune di Campobasso nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
