Campochiaro comune,Campochiaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Simona Valente (Tradizione e futuro) dall'11-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,41°27′N 14°31′E
Altitudine,750 m s.l.m.
Superficie,"35,7 km²"
Abitanti,557[1] (30-11-2025)
Densità,"15,6 ab./km²"
Comuni confinanti,"Castello del Matese (CE), Colle d'Anchise, Guardiaregia, Piedimonte Matese (CE), San Gregorio Matese (CE), San Polo Matese, Vinchiaturo"
Altre informazioni,Altre informazioni
Cod. postale,86020
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070007
Cod. catastale,B522
Targa,CB
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 345 GG[3]"
Nome abitanti,campochiaresi
Patrono,san Marco
Giorno festivo,25 aprile
Cartografia,Cartografia
Campochiaro,Campochiaro
Campochiaro – MappaPosizione del comune di Campochiaro nella provincia di Campobasso,Campochiaro – MappaPosizione del comune di Campochiaro nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
