Jelsi comune,Jelsi comune.1
,
Jelsi – Veduta,Jelsi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Egidio Mauri (lista civica Fare comune Jelsi) dal 13-6-2022
Territorio,Territorio
Coordinate,41°31′N 14°48′E
Altitudine,580 m s.l.m.
Superficie,"28,50 km²"
Abitanti,1 535[1] (30-11-2025)
Densità,"53,86 ab./km²"
Frazioni,"Case Sparse, La Carrera, Pagliaio di Facco, Piane, Sant'Urbano, Macchione"
Comuni confinanti,"Campodipietra, Cercemaggiore, Gildone, Pietracatella, Riccia, Toro"
Altre informazioni,Altre informazioni
Cod. postale,86015
Prefisso,0874
Fuso orario,UTC+1
Codice ISTAT,070030
Cod. catastale,E381
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,jelsesi
Patrono,Sant'Andrea Apostolo e Sant'Anna
Giorno festivo,30 novembre e 26 luglio
Cartografia,Cartografia
Jelsi,Jelsi
Jelsi – MappaPosizione del comune di Jelsi nella provincia di Campobasso,Jelsi – MappaPosizione del comune di Jelsi nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
