Campomarino comune,Campomarino comune.1
,
Campomarino – VedutaCampomarino paese vecchio in centro e Campomarino Lido a sinistra,Campomarino – VedutaCampomarino paese vecchio in centro e Campomarino Lido a sinistra
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Vincenzo Norante (lista civica Crescere insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,41°57′24″N 15°02′04″E
Altitudine,52 m s.l.m.
Superficie,"76,68 km²"
Abitanti,7 990[1] (30-11-2025)
Densità,"104,2 ab./km²"
Frazioni,"Campomarino Lido, Nuova Cliternia, Ramitelli, Contrada Àrcora"
Comuni confinanti,"Chieuti (FG), Guglionesi, Portocannone, San Martino in Pensilis, Termoli"
Altre informazioni,Altre informazioni
Lingue,"italiano, arbëreshë"
Cod. postale,86042
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070010
Cod. catastale,B550
Targa,CB
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 347 GG[3]"
Nome abitanti,"campomarinesi, cliternini"
Patrono,santa Cristina
Giorno festivo,24 luglio
PIL,"(nominale) 108,8 mln €[4]"
PIL procapite,(nominale) 14 056 €[4]
Cartografia,Cartografia
Campomarino,Campomarino
Campomarino – MappaPosizione del comune di Campomarino nella provincia di Campobasso,Campomarino – MappaPosizione del comune di Campomarino nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
