Tavenna comune,Tavenna comune.1
,
Tavenna – Veduta,Tavenna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Molise
Provincia,Campobasso
Amministrazione,Amministrazione
Sindaco,Paolo Cirulli (lista civica Insieme per Tavenna) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°55′N 14°46′E
Altitudine,550 m s.l.m.
Superficie,"21,97 km²"
Abitanti,549[1] (30-11-2025)
Densità,"24,99 ab./km²"
Comuni confinanti,"Acquaviva Collecroce, Mafalda, Montenero di Bisaccia, Palata, San Felice del Molise"
Altre informazioni,Altre informazioni
Cod. postale,86030
Prefisso,0875
Fuso orario,UTC+1
Codice ISTAT,070077
Cod. catastale,L069
Targa,CB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 919 GG[3]"
Nome abitanti,tavennesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Tavenna,Tavenna
Tavenna – MappaPosizione del comune di Tavenna nella provincia di Campobasso,Tavenna – MappaPosizione del comune di Tavenna nella provincia di Campobasso
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
