Jolanda di Savoia comune,Jolanda di Savoia comune.1
,
Jolanda di Savoia – VedutaFacciata del palazzo municipale,Jolanda di Savoia – VedutaFacciata del palazzo municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Elisa Trombin (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°53′N 11°59′E
Altitudine,1 m s.l.m.
Superficie,"108,03 km²"
Abitanti,2 589[1] (30-11-2025)
Densità,"23,97 ab./km²"
Frazioni,"Augusta, Barchessa, Bonaglina, Ca' Maccale, Carlina, Cerere, Contane, Corlo, De Bernardi, Fenoglio, Foscari, Foscarina, Gherardi, Giovanna, Le Contane, Leona, Pallotti, Pola, Rossetti, Zara[2]"
Comuni confinanti,"Codigoro, Copparo, Fiscaglia, Riva del Po, Tresignana"
Altre informazioni,Altre informazioni
Cod. postale,44037
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038010
Cod. catastale,E320
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 267 GG[4]"
Nome abitanti,jolandini
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Jolanda di Savoia,Jolanda di Savoia
Jolanda di Savoia – Mappa,Jolanda di Savoia – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
