Masi Torello comune,Masi Torello comune.1
,
Masi Torello – VedutaPalazzina municipale,Masi Torello – VedutaPalazzina municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Samuele Neri (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°47′40.49″N 11°48′06.55″E
Altitudine,3 m s.l.m.
Superficie,"22,71 km²"
Abitanti,2 244[1] (30-11-2025)
Densità,"98,81 ab./km²"
Frazioni,Masi San Giacomo
Comuni confinanti,"Ferrara, Ostellato, Portomaggiore, Voghiera"
Altre informazioni,Altre informazioni
Cod. postale,44020
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038012
Cod. catastale,F016
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 272 GG[3]"
Nome abitanti,masesi
Patrono,san Leonardo di Noblac
Giorno festivo,6 novembre
Cartografia,Cartografia
Masi Torello,Masi Torello
Masi Torello – Mappa,Masi Torello – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
