Poggio Renatico comune,Poggio Renatico comune.1
,
Poggio Renatico – VedutaAbbazia di San Michele dopo il terremoto dell'Emilia del 2012,Poggio Renatico – VedutaAbbazia di San Michele dopo il terremoto dell'Emilia del 2012
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Daniele Garuti (lista civica di centro-destra) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°45′54″N 11°29′00″E
Altitudine,10 m s.l.m.
Superficie,"80,23 km²"
Abitanti,9 714[1] (30-11-2025)
Densità,"121,08 ab./km²"
Frazioni,"Chiesa Nuova, Coronella, Gallo, Madonna Boschi"
Comuni confinanti,"Baricella (BO), Ferrara, Galliera (BO), Malalbergo (BO), Terre del Reno, Vigarano Mainarda"
Altre informazioni,Altre informazioni
Cod. postale,44028
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038018
Cod. catastale,G768
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 280 GG[3]"
Nome abitanti,poggesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Poggio Renatico,Poggio Renatico
Poggio Renatico – Mappa,Poggio Renatico – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
