Lagosanto comune,Lagosanto comune.1
,
Lagosanto – Veduta,Lagosanto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Cristian Bertarelli (lista civica di centro-destra Uniti per Lagosanto) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°46′N 12°08′E
Altitudine,2 m s.l.m.
Superficie,"34,44 km²"
Abitanti,4 650[1] (30-11-2025)
Densità,"135,02 ab./km²"
Frazioni,"Marozzo, Boschetto, Vaccolino"
Comuni confinanti,"Codigoro, Comacchio, Fiscaglia, Ostellato"
Altre informazioni,Altre informazioni
Cod. postale,44023
Prefisso,0533
Fuso orario,UTC+1
Codice ISTAT,038011
Cod. catastale,E410
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 268 GG[3]"
Nome abitanti,laghesi o lagotti
Patrono,san Venanzio
Giorno festivo,18 maggio
Cartografia,Cartografia
Lagosanto,Lagosanto
Lagosanto – Mappa,Lagosanto – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
