Ostellato comune,Ostellato comune.1
,
Ostellato – VedutaMunicipio,Ostellato – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Elena Rossi (lista civica di centro-sinistra FuturOstellato) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°43′42.41″N 11°58′14″E
Altitudine,2 m s.l.m.
Superficie,"173,34 km²"
Abitanti,5 613[1] (30-11-2025)
Densità,"32,38 ab./km²"
Frazioni,"Alberlungo, Campolungo, Dogato, Libolla, Medelana, Rovereto, San Giovanni, San Vito"
Comuni confinanti,"Comacchio, Ferrara, Fiscaglia, Lagosanto, Masi Torello, Portomaggiore, Tresignana"
Altre informazioni,Altre informazioni
Cod. postale,44020
Prefisso,0533
Fuso orario,UTC+1
Codice ISTAT,038017
Cod. catastale,G184
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 270 GG[3]"
Nome abitanti,ostellatesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Ostellato,Ostellato
Ostellato – Mappa,Ostellato – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
