Portomaggiore comune,Portomaggiore comune.1
,
Portomaggiore – Veduta,Portomaggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Dario Bernardi (lista civica di centro-sinistra Energie per Porto) dal 4-10-2021
Territorio,Territorio
Coordinate,44°42′N 11°48′E
Altitudine,2 m s.l.m.
Superficie,"126,64 km²"
Abitanti,12 409[1] (30-11-2025)
Densità,"97,99 ab./km²"
Frazioni,"Gambulaga, Maiero, Portorotta, Portoverrara, Quartiere, Ripapersico, Runco, Sandolo"
Comuni confinanti,"Argenta, Comacchio, Masi Torello, Ostellato, Voghiera"
Altre informazioni,Altre informazioni
Cod. postale,44015
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038019
Cod. catastale,G916
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 272 GG[3]"
Nome abitanti,portuensi
Patrono,san Carlo Borromeo
Cartografia,Cartografia
Portomaggiore,Portomaggiore
Portomaggiore – Mappa,Portomaggiore – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
