Fiscaglia comune,Fiscaglia comune.1
,
"Fiscaglia – VedutaPieve di San Vitale in Fiscaglia, epicentro dei primi insediamenti altomedievali","Fiscaglia – VedutaPieve di San Vitale in Fiscaglia, epicentro dei primi insediamenti altomedievali"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Fabio Tosi (lista civica di centro-destra Attiva Fiscaglia) dal 27-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,44°46′15″N 11°56′05″E
Altitudine,3 m s.l.m.
Superficie,"116,18[1] km²"
Abitanti,8 552[2] (30-11-2025)
Densità,"73,61 ab./km²"
Frazioni,"Località:Massa Fiscaglia, Migliarino, Migliaro (sede comunale) Frazioni: Canove, Cascina, Bassa Cornacervina, Valcesura, Cornacervina, Tieni, Bastioni[3][4][5]"
Comuni confinanti,"Codigoro, Jolanda di Savoia, Lagosanto, Ostellato, Tresignana"
Altre informazioni,Altre informazioni
Cod. postale,44027
Prefisso,0533
Fuso orario,UTC+1
Codice ISTAT,038027
Cod. catastale,M323
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[6]
Nome abitanti,fiscagliesi
Patrono,Madonna della Corba[7]
Giorno festivo,13 maggio
Cartografia,Cartografia
Fiscaglia,Fiscaglia
Fiscaglia – Mappa,Fiscaglia – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
