Tresignana comune,Tresignana comune.1
,
Tresignana – Veduta,Tresignana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Mirko Perelli (lista civica di centro-destra) dal 24-06-2024
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate,44°48′57.53″N 11°53′40.99″E
Superficie,"42,93 km²"
Abitanti,6 969[1] (30-11-2025)
Densità,"162,33 ab./km²"
Frazioni,"Brazzolo, Final di Rero, Formignana, Rero, Roncodigà, Tresigallo (sede comunale)"
Comuni confinanti,"Ferrara, Copparo, Jolanda di Savoia, Fiscaglia, Ostellato"
Altre informazioni,Altre informazioni
Cod. postale,"44035 (Formignana), 44039 (Tresigallo)"
Prefisso,0533
Fuso orario,UTC+1
Codice ISTAT,038030
Cod. catastale,M409
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,tresignanesi
Cartografia,Cartografia
Tresignana,Tresignana
Tresignana – MappaPosizione del comune di Tresignana all'interno della provincia di Ferrara,Tresignana – MappaPosizione del comune di Tresignana all'interno della provincia di Ferrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
