Vigarano Mainarda comune,Vigarano Mainarda comune.1
,
Vigarano Mainarda – VedutaDelizia estense della Diamantina,Vigarano Mainarda – VedutaDelizia estense della Diamantina
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Davide Bergamini (lista civica di centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,44°51′N 11°30′E
Altitudine,10 m s.l.m.
Superficie,"42,02 km²"
Abitanti,7 634[1] (30-11-2025)
Densità,"181,68 ab./km²"
Frazioni,"Borgo, Castello, Coronella (in parte), Diamantina, Madonna dei Boschi (in parte), Tortiola, Vigarano Pieve"
Comuni confinanti,"Bondeno, Ferrara, Poggio Renatico, Terre del Reno"
Altre informazioni,Altre informazioni
Cod. postale,44049
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038022
Cod. catastale,L868
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 327 GG[3]"
Nome abitanti,vigaranesi
Patrono,"sant'Antonio di Padova (Vigarano Mainarda), santi Pietro e Paolo (Vigarano Pieve)"
Giorno festivo,"13 giugno (Vigarano Mainarda), 29 giugno (Vigarano Pieve)"
Cartografia,Cartografia
Vigarano Mainarda,Vigarano Mainarda
Vigarano Mainarda – Mappa,Vigarano Mainarda – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
