Riva del Po comune,Riva del Po comune.1
,
Riva del Po – VedutaLa chiesa dell'Assunzione di Maria SS.,Riva del Po – VedutaLa chiesa dell'Assunzione di Maria SS.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ferrara
Amministrazione,Amministrazione
Sindaco,Daniela Simoni (lista civica) dal 10-6-2024
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate,44°57′49.77″N 11°54′35.52″E
Altitudine,−2 m s.l.m.
Superficie,"113,2 km²"
Abitanti,7 402[1] (30-11-2025)
Densità,"65,39 ab./km²"
Frazioni,"Alberone, Berra (sede comunale), Cologna, Guarda, Ro, Ruina, Serravalle, Zocca"
Comuni confinanti,"Ferrara, Canaro (RO), Polesella (RO), Guarda Veneta (RO), Crespino (RO), Villanova Marchesana (RO), Papozze (RO), Ariano nel Polesine (RO), Mesola, Codigoro, Jolanda di Savoia, Copparo"
Altre informazioni,Altre informazioni
Cod. postale,44033
Prefisso,0532
Fuso orario,UTC+1
Codice ISTAT,038029
Cod. catastale,M410
Targa,FE
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,"berresi, roesi"
Cartografia,Cartografia
Riva del Po,Riva del Po
Riva del Po – MappaPosizione del comune di Riva del Po all'interno della provincia di Ferrara,Riva del Po – MappaPosizione del comune di Riva del Po all'interno della provincia di Ferrara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
