San Pietro Apostolo comune,San Pietro Apostolo comune.1
,
San Pietro Apostolo – Veduta,San Pietro Apostolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Raffaele De Santis (lista civica ""San Pietro per il futuro"") dal 12-6-2022"
Territorio,Territorio
Coordinate,39°00′N 16°28′E
Altitudine,750 m s.l.m.
Superficie,"11,72 km²"
Abitanti,1 540[1] (30-11-2025)
Densità,"131,4 ab./km²"
Frazioni,"Bivio Zeta, Pasqualazzo, Colicella"
Comuni confinanti,"Decollatura, Gimigliano, Miglierina, Serrastretta, Tiriolo"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079115
Cod. catastale,I095
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,san pietresi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pietro Apostolo,San Pietro Apostolo
San Pietro Apostolo – MappaPosizione del comune di San Pietro Apostolo all'interno della provincia di Catanzaro,San Pietro Apostolo – MappaPosizione del comune di San Pietro Apostolo all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
