Martirano Lombardo comune,Martirano Lombardo comune.1
,
Martirano Lombardo – VedutaLa Chiesa del Sacro Cuore di Gesù,Martirano Lombardo – VedutaLa Chiesa del Sacro Cuore di Gesù
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Franco Rosario Pucci (lista civica ""L'Aurora 2.0"") dal 20-09-2020"
Territorio,Territorio
Coordinate,39°04′32″N 16°13′52″E
Altitudine,520 m s.l.m.
Superficie,"19,84 km²"
Abitanti,923[1] (30-11-2025)
Densità,"46,52 ab./km²"
Frazioni,"Pietrebianche, San Nicola, Santa Croce Beratta, Passeri."
Comuni confinanti,"Aiello Calabro (CS), Cleto (CS), Conflenti, Lamezia Terme, Martirano, Nocera Terinese, San Mango d'Aquino"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079074
Cod. catastale,E991
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 841 GG[3]"
Nome abitanti,martiranesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Martirano Lombardo,Martirano Lombardo
Martirano Lombardo – MappaPosizione del comune di Martirano Lombardo all'interno della provincia di Catanzaro,Martirano Lombardo – MappaPosizione del comune di Martirano Lombardo all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
