San Mango d'Aquino comune,San Mango d'Aquino comune.1
,
San Mango d'Aquino – VedutaPanorama di San Mango d'Aquino ritratto da Savuto di Cleto,San Mango d'Aquino – VedutaPanorama di San Mango d'Aquino ritratto da Savuto di Cleto
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Gianmarco Cimino (lista civica FUTURO ADESSO.) dal 16-05-2023
Territorio,Territorio
Coordinate,39°03′34.35″N 16°10′56.4″E
Altitudine,468 m s.l.m.
Superficie,"6,89 km²"
Abitanti,1 383[1] (30-11-2025)
Densità,"200,73 ab./km²"
Frazioni,"Buda, Madonna, Prunu, Chiani Milu, Destre, Tribbiti, Carpanzano, Croce del Mulino, San Giuseppe, Piazza, Sacchi, Castagnari, Arcella, Acquicella, Pagliarella, Piano, San mango 2"
Comuni confinanti,"Cleto (CS), Martirano Lombardo, Nocera Terinese"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079110
Cod. catastale,H976
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sammanghesi
Patrono,san Tommaso d'Aquino
Giorno festivo,28 gennaio
Cartografia,Cartografia
San Mango d'Aquino,San Mango d'Aquino
San Mango d'Aquino – MappaPosizione del comune di San Mango d'Aquino all'interno della provincia di Catanzaro,San Mango d'Aquino – MappaPosizione del comune di San Mango d'Aquino all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
