Amato comune,Amato comune.1
(IT) Amato (AAE) Amati,(IT) Amato (AAE) Amati
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Saverio Ruga (Vivere Amato) dal 26-5-2014 (2º mandato 26-5-2019)
Territorio,Territorio
Coordinate,38°56′N 16°28′E
Altitudine,480 m s.l.m.
Superficie,"20,93 km²"
Abitanti,770[1] (30-11-2025)
Densità,"36,79 ab./km²"
Frazioni,"Pomo Piro, Magauda, Colangelo, Serralanti, Andressi, Acquaro, Marchella, Mosca, Cucina, Cutro, Laghi"
Comuni confinanti,"Marcellinara, Miglierina, Pianopoli, Serrastretta"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079004
Cod. catastale,A257
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 674 GG[3]"
Nome abitanti,amatesi
Patrono,san Francesco di Paola
Giorno festivo,2 aprile / ogni seconda domenica di agosto
Cartografia,Cartografia
Amato,Amato
Amato – MappaPosizione del comune di Amato all'interno della provincia di Catanzaro,Amato – MappaPosizione del comune di Amato all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
