Tiriolo comune,Tiriolo comune.1
,
Tiriolo – Veduta,Tiriolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Domenico Stefano Greco (lista civica Insieme per Tiriolo) dal 4-10-2021
Territorio,Territorio
Coordinate,38°57′N 16°30′E
Altitudine,690 m s.l.m.
Superficie,"29,26 km²"
Abitanti,3 465[1] (30-11-2025)
Densità,"118,42 ab./km²"
Frazioni,"Pratora, Sarrottino, Soluri"
Comuni confinanti,"Catanzaro, Gimigliano, Marcellinara, Miglierina, San Pietro Apostolo, Settingiano"
Altre informazioni,Altre informazioni
Cod. postale,88056
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079147
Cod. catastale,L177
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,tiriolesi
Patrono,Nostra Signora della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Tiriolo,Tiriolo
Tiriolo – MappaPosizione del comune di Tiriolo all'interno della provincia di Catanzaro,Tiriolo – MappaPosizione del comune di Tiriolo all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
