San Floro comune,San Floro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Bruno Meta (lista civica ""ViviAmo San Floro"") dal 26-5-2019"
Territorio,Territorio
Coordinate,38°50′58.29″N 16°31′00.48″E
Altitudine,260 m s.l.m.
Superficie,"18,32 km²"
Abitanti,687[1] (30-11-2025)
Densità,"37,5 ab./km²"
Comuni confinanti,"Borgia, Caraffa di Catanzaro, Catanzaro, Cortale, Girifalco, Maida"
Altre informazioni,Altre informazioni
Cod. postale,88021
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079108
Cod. catastale,H846
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 198 GG[3]"
Nome abitanti,sanfloresi
Patrono,san Floro
Giorno festivo,18 agosto
Cartografia,Cartografia
San Floro,San Floro
San Floro – MappaPosizione del comune di San Floro all'interno della provincia di Catanzaro,San Floro – MappaPosizione del comune di San Floro all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
