Conflenti comune,Conflenti comune.1
,
Conflenti – VedutaPanorama di Conflenti,Conflenti – VedutaPanorama di Conflenti
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Emilio Francesco D'Assisi (lista civica Uniti e liberi) dal 4-10-2021
Territorio,Territorio
Coordinate,39°04′N 16°17′E
Altitudine,540 m s.l.m.
Superficie,"29,34 km²"
Abitanti,1 313[1] (30-11-2025)
Densità,"44,75 ab./km²"
Frazioni,"Annetta, Cona, Costa, Guglia, Lisca, Muraglie, Piano Ianni, Piano Croce,Passo Ceraso, San Mazzeo, Serra D'Acino, Serra d'Urso, Stranges, Valentune,Vallone Cupo."
Comuni confinanti,"Decollatura, Lamezia Terme, Martirano, Martirano Lombardo, Motta Santa Lucia, Platania"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079033
Cod. catastale,C960
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 883 GG[3]"
Nome abitanti,conflentesi (in calabrese cushjintàri)
Patrono,Maria SS. della Quercia di Visora Sant'Andrea Apostolo San Nicola di Bari
Giorno festivo,"7 febbraio / ultima domenica di agosto 30 novembre, seconda domenica di maggio"
Cartografia,Cartografia
Conflenti,Conflenti
Conflenti – MappaPosizione del comune di Conflenti all'interno della provincia di Catanzaro,Conflenti – MappaPosizione del comune di Conflenti all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
