Soverato comune,Soverato comune.1
,
Soverato – VedutaVeduta della Baia di Soverato,Soverato – VedutaVeduta della Baia di Soverato
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Daniele Vacca (lista civica di centro-sinistra ""Cambiamenti"") dal 12-6-2022"
Territorio,Territorio
Coordinate,38°41′N 16°33′E
Altitudine,8 m s.l.m.
Superficie,"7,7 km²"
Abitanti,8 413[1] (30-11-2025)
Densità,"1 092,6 ab./km²"
Frazioni,"Turrati, Panoramica"
Comuni confinanti,"Montepaone, Petrizzi, Satriano"
Altre informazioni,Altre informazioni
Cod. postale,88068
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079137
Cod. catastale,I872
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,soveratesi
Patrono,Madonna Addolorata
Giorno festivo,15 settembre
Cartografia,Cartografia
Soverato,Soverato
Soverato – MappaPosizione del comune di Soverato all'interno della provincia di Catanzaro,Soverato – MappaPosizione del comune di Soverato all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
