Montepaone comune,Montepaone comune.1
,
Montepaone – Veduta,Montepaone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Mario Migliarese (lista civica ""Montepaone Riparte"") dal 31-5-2015 (2º mandato dal 21-9-2020)"
Territorio,Territorio
Coordinate,38°43′N 16°30′E
Altitudine,367 m s.l.m.
Superficie,"16,85 km²"
Abitanti,5 862[1] (30-11-2025)
Densità,"347,89 ab./km²"
Frazioni,"Frabotto Mannesì, Montepaone Lido, Paparo, Sant'Angelo, Timponello"
Comuni confinanti,"Centrache, Gasperina, Montauro, Palermiti, Petrizzi, Soverato"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079081
Cod. catastale,F586
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 431 GG[3]"
Nome abitanti,montepaonesi
Patrono,San Felice Martire della Legione di Tebea
Giorno festivo,12 agosto
Cartografia,Cartografia
Montepaone,Montepaone
Montepaone – MappaPosizione del comune di Montepaone all'interno della provincia di Catanzaro,Montepaone – MappaPosizione del comune di Montepaone all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
