Squillace comune,Squillace comune.1
,
Squillace – VedutaPanorama dal castello,Squillace – VedutaPanorama dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Vincenzo Zofrea (lista civica ""SiAmo Squillace"") dal 10-06-2024"
Territorio,Territorio
Coordinate,38°47′N 16°31′E
Altitudine,344 m s.l.m.
Superficie,"34,33 km²"
Abitanti,3 594[1] (30-11-2025)
Densità,"104,69 ab./km²"
Frazioni,"Squillace Lido (scalo o stazione), Fiasco Baldaia (vedi elenco completo)"
Comuni confinanti,"Amaroni, Borgia, Girifalco, Montauro, Palermiti, Stalettì, Vallefiorita"
Altre informazioni,Altre informazioni
Cod. postale,88069
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079142
Cod. catastale,I929
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 258 GG[3]"
Nome abitanti,squillacesi
Patrono,sant'Agazio
Giorno festivo,7 maggio
Cartografia,Cartografia
Squillace,Squillace
Squillace – MappaPosizione del comune di Squillace nella provincia di Catanzaro,Squillace – MappaPosizione del comune di Squillace nella provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
