Sorbo San Basile comune,Sorbo San Basile comune.1
,
Sorbo San Basile – VedutaPanorama,Sorbo San Basile – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Aldo Scorza (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,39°01′N 16°34′E
Altitudine,620 m s.l.m.
Superficie,"59,28 km²"
Abitanti,712[1] (30-11-2025)
Densità,"12,01 ab./km²"
Frazioni,"Cutura, Melitello, Utro, Villaggio Lagomar."
Comuni confinanti,"Bianchi (CS), Carlopoli, Cicala, Colosimi (CS), Fossato Serralta, Gimigliano, Panettieri (CS), Taverna"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079134
Cod. catastale,I844
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,sorbesi
Patrono,san Francesco Saverio
Giorno festivo,3 dicembre
Cartografia,Cartografia
Sorbo San Basile,Sorbo San Basile
Sorbo San Basile – MappaPosizione del comune di Sorbo San Basile all'interno della provincia di Catanzaro,Sorbo San Basile – MappaPosizione del comune di Sorbo San Basile all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
